Symbol,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal
GLOBAL,8.0,5.26,82723800,71.9,7.35,6.99,HOLD
SCGP,32.0,4.92,20822000,74.4,29.62,27.62,HOLD
BCH,11.0,3.77,36157900,69.5,10.33,9.85,BUY
TCAP,85.75,3.31,11269400,78.0,74.0,67.73,HOLD
TU,13.2,3.12,35768900,79.4,12.1,11.7,HOLD
SCC,264.0,3.12,6935400,70.5,252.95,244.16,HOLD
DOHOME,4.16,2.97,48365900,71.7,3.87,3.65,HOLD
JMT,12.4,2.48,15497800,59.0,12.12,11.54,HOLD
SAWAD,25.5,2.41,19236600,60.7,24.86,23.24,HOLD
PTTGC,37.25,2.05,29205900,54.7,36.96,34.9,HOLD
CBG,52.5,1.94,7454300,66.0,51.02,46.05,HOLD
JMART,11.5,1.77,20820400,61.5,11.31,10.04,HOLD
TIDLOR,19.4,1.57,16773900,56.7,19.21,18.72,HOLD
KBANK,247.0,1.23,13213200,77.0,236.8,219.98,HOLD
BLA,26.0,0.97,1387100,53.0,26.35,25.09,HOLD
TISCO,130.0,0.78,1811600,67.0,127.72,120.72,HOLD
BBL,193.0,0.78,10439600,54.4,194.95,184.08,HOLD
MTC,34.75,0.72,13317800,64.2,33.52,31.27,HOLD
KTC,38.75,0.65,10493600,64.6,38.39,34.41,HOLD
RATCH,38.5,0.65,5818900,68.5,37.91,33.78,HOLD
CPALL,48.75,0.52,44460700,66.2,46.99,46.6,HOLD
GPSC,52.25,0.48,7844800,61.0,52.0,46.41,HOLD
IVL,22.0,0.46,28607700,38.3,23.64,23.02,HOLD
CPF,22.5,0.45,22792500,67.8,22.08,20.48,HOLD
SCB,154.0,0.33,13080800,55.1,154.9,147.28,HOLD
BEM,6.75,0.0,18572700,72.1,6.52,6.01,HOLD
BJC,16.4,0.0,6912000,74.6,15.34,14.74,HOLD
AWC,3.04,0.0,57820500,67.1,2.81,2.63,HOLD
AP,8.25,0.0,8901700,66.2,7.94,7.56,HOLD
BTG,21.3,0.0,2246300,54.8,21.21,20.68,HOLD
CRC,26.5,0.0,20482800,73.9,23.91,22.92,HOLD
BCPG,7.15,0.0,3517200,46.9,7.29,7.04,HOLD
KKP,113.0,0.0,9499400,59.0,111.03,100.38,HOLD
ADVANC,374.0,0.0,5856200,51.2,376.6,366.7,HOLD
AOT,64.0,0.0,11549200,57.6,63.56,61.06,HOLD
KTB,44.25,0.0,92279900,73.0,42.23,38.66,HOLD
ITC,18.0,0.0,6836800,68.7,16.77,16.49,HOLD
GUNKUL,5.05,0.0,28300000,61.8,5.06,4.45,HOLD
MINT,23.7,0.0,23849200,53.7,23.34,23.43,HOLD
STGT,10.8,0.0,1472800,58.6,10.58,10.68,HOLD
PTTEP,149.0,0.0,18814800,64.3,146.35,141.02,HOLD
OR,12.8,0.0,15921100,53.7,12.81,12.54,HOLD
PRM,9.95,0.0,4641800,66.3,9.56,9.02,HOLD
IRPC,2.28,0.0,99740000,67.4,2.1,1.92,HOLD
BH,188.0,-0.27,3534600,57.6,184.45,183.91,HOLD
CPN,68.75,-0.36,6402200,59.1,67.31,66.29,HOLD
BDMS,19.5,-0.51,73840200,57.1,19.34,18.88,HOLD
LH,3.82,-0.52,28209900,57.3,3.78,3.72,HOLD
BGRIM,18.6,-0.53,14597600,51.0,19.23,17.21,HOLD
CK,18.1,-0.55,6345700,42.3,18.61,18.88,HOLD
PR9,18.1,-0.55,4428000,59.0,17.8,17.31,HOLD
ERW,3.64,-0.55,38849500,72.6,3.21,3.07,HOLD
OSP,17.6,-0.56,10460000,58.9,17.44,16.71,HOLD
MOSHI,42.5,-0.58,492700,70.4,39.73,38.28,HOLD
CHG,1.56,-0.64,35849200,50.8,1.57,1.53,HOLD
SIRI,1.53,-0.65,51283200,63.6,1.5,1.45,HOLD
TTB,3.08,-0.65,381449700,78.2,2.87,2.58,HOLD
ICHI,15.0,-0.66,5603600,67.3,14.68,13.9,HOLD
