Symbol,Date,Close,ChangePct,Volume,RSI14,SMA20,SMA50,Signal,SignalSince,SignalDays
STA,2026-08-19,19.9,6.99,47258744,67.7,18.58,18.24,BUY,2026-08-19,1
KKP,2026-08-19,112.5,3.69,16959785,56.6,113.38,105.38,HOLD,2026-05-11,73
STGT,2026-08-19,11.3,3.67,6925513,68.4,10.68,10.54,HOLD,2026-08-12,6
KCE,2026-08-19,55.5,3.26,26191047,76.7,45.04,41.97,HOLD,2026-08-06,10
RCL,2026-08-19,44.25,2.91,6642972,85.9,36.91,34.15,HOLD,2026-08-11,7
PR9,2026-08-19,18.5,2.21,4919815,61.6,18.05,17.68,HOLD,2026-08-07,9
CBG,2026-08-19,57.5,1.77,5943905,75.3,52.19,48.8,HOLD,2026-06-23,42
TCAP,2026-08-19,86.75,1.76,7161716,65.5,82.44,73.67,HOLD,2026-06-17,46
COCOCO,2026-08-19,6.1,1.67,5246263,56.6,5.97,5.84,HOLD,2026-08-06,10
BLA,2026-08-19,25.0,1.63,1245810,47.0,25.26,25.39,HOLD,2026-08-19,1
PTTGC,2026-08-19,39.75,1.27,21683288,63.6,38.2,35.77,HOLD,2026-08-19,1
SISB,2026-08-19,9.45,1.07,2052033,39.2,9.64,9.82,HOLD,2026-08-12,6
JMART,2026-08-19,11.3,0.89,11272394,57.3,11.02,10.46,HOLD,2026-07-10,29
KBANK,2026-08-19,249.0,0.81,10320759,66.7,245.7,230.59,HOLD,2026-06-17,46
BBL,2026-08-19,189.5,0.8,14236662,46.9,191.57,188.15,HOLD,2026-06-19,44
BH,2026-08-19,196.0,0.77,6038780,64.1,188.4,186.77,HOLD,2026-08-03,13
PLANB,2026-08-19,6.7,0.75,48346498,74.0,6.03,5.29,HOLD,2026-07-06,33
MOSHI,2026-08-19,40.5,0.62,342866,52.6,40.73,39.04,HOLD,2026-07-28,17
TASCO,2026-08-19,16.8,0.6,16003502,72.4,15.02,14.32,HOLD,2026-07-17,24
KTB,2026-08-19,43.75,0.57,38101273,57.4,43.96,40.7,HOLD,2026-06-17,46
KTC,2026-08-19,37.5,0.0,12789557,47.4,38.41,36.2,HOLD,2026-06-02,57
CPF,2026-08-19,22.5,0.0,24118549,62.7,22.04,21.15,HOLD,2026-07-02,35
CCET,2026-08-19,9.05,0.0,43646291,59.6,8.51,8.8,HOLD,2026-07-28,17
BDMS,2026-08-19,19.4,0.0,63259970,48.9,19.44,19.2,HOLD,2026-08-07,9
CKP,2026-08-19,2.52,0.0,2084336,49.8,2.53,2.5,HOLD,2026-06-18,45
CK,2026-08-19,19.2,0.0,7415779,59.8,18.34,18.89,HOLD,2026-08-14,4
ITC,2026-08-19,17.4,0.0,4821582,55.1,17.36,16.75,HOLD,2026-07-24,19
ICHI,2026-08-19,14.6,0.0,2707347,47.4,14.85,14.33,HOLD,2026-06-15,48
TISCO,2026-08-19,125.5,0.0,2341038,42.3,128.6,123.93,HOLD,2026-06-08,53
SNNP,2026-08-19,6.95,0.0,211306,47.0,7.03,6.92,HOLD,2026-07-09,30
